message,label
Дебилы 🤦🏻‍♀️,not spam
Мы уже привыкли😂,not spam
Жиза 💯,not spam
Девочки до скольки группа ?,not spam
"Обычно 1 час и 15, но у нас немного затянется)",not spam
"Сижу и боюсь, что сейчас тролли залетят и заорет эта фигня, трудно сосредоточиться на высказывании , а опыт офигенный",not spam
"Сижу и боюсь, что сейчас тролли залетят и заорет эта фигня, трудно сосредоточиться на высказывании , а опыт офигенный",not spam
Мы их сразу удаляем обычно😁 так что забей😉,not spam
Оки 🌷,not spam
"Идентификация, опыт отзывается",not spam
"Да, выше .",not spam
Ты следующая ),not spam
Да пошел он нахер,not spam
И так весь чат подумал),not spam
Поддержка тебе Настя❤️,not spam
"🌜🌛🌜ИНТЕРДЕВОЧКИ🌜🌛🌜

 
🌛✨💞 13  декабря 💞✨🌛

 

🌛  Темы  🌛

✨как вы прорабатываете чувство стыда и страха? Бывший мч в общем чате (чат анонимный) писал гадости, провоцировал.

✨опыт торчания на мужском внимании. Как прорабатывали?

✨

✨


✨Регламент:10 минут

✨Новички:

✨1 раз:Вика,Оксана

✨До 30 дней:Настя,Анжелика,Алиса

✨Юбиляры:

💥Очередь:
Катя
Настя
Анжелика
Вика
Ляман 
Дарья
Юля
Настя🎙️
Сабина",not spam
Объявление: Ищу переводчиков с любых языков для перевода иностранных спикеров на русскоговорящих группах,not spam
Пишите в ЛС кому интересно,not spam
"Спасибо за служение , за группу ❤️🙏",not spam
"Девочки, спасибо за группу и за служение ❤️❤️❤️",not spam
"Ляман, спасибо за служение!",not spam
888,not spam
888,not spam
888,not spam
888,not spam
(надеюсь правильно имя написала),not spam
888,not spam
Спасибо за группу и за служение❤️🙏,not spam
Правильно ☺️,not spam
А есть кто из Австрии?,not spam
warning for forbidden words,not spam
joined,not spam
"Доброе утро 😃, всем хорошего дня ❤️",not spam
"Доброе утро, дорогие друзья! 🌈🌸☃️
Пусть Боженька несёт нас на руках и не будет внутри раздражения и недовольства, а будет радость и любовь! 💗
Так всегда происходит, когда мы живём по простым правилам нашей замечательной программы 🐻",not spam
"Друзья, берегите себя , своих близких ! Всем Мира, Защиты , Процветания и Океан Милости! 

С любовью, Женя☀️😘🌸",not spam
joined,not spam
joined,not spam
joined,not spam
Карточки 5-6-7-8 свободны,not spam
"Чтобы не писали мужчины, которые ищут спонсора девушку😂",not spam
лада 111,not spam
Настя 111,not spam
никита111,not spam
арсений!!!!,not spam
"да, у меня тоже в головея что отличники единственные нормальные люди.",not spam
Петя 111,not spam
Привет !,not spam
Василий 11,not spam
Всем приветик,not spam
Привет!,not spam
"Девчёнки, всем привет!",not spam
А была уже ссылка на присоединение к звонку?,not spam
"😃😃😃😃😃😃😃😃

😃😃😀😃😃😀😃😃

😃😃

😃😃😃😃😃😃😃  👍

Несовершенство, человечность и смирение  

🌺🌺🌺🌺🌺🌺🌺🌺

Если убрать в сторону нашу зависимость- то мы просто обычные люди, члены общества точно так  же обладающие какими-то талантами и изъянами, как и все остальные. (Жить чистыми, Глава 5,  «Дружба»).  

Мы зависимые, выздоравливающие от болезни зависимости. Это не новость.  

У нас есть прошлое (да ну!), настоящее (особенно когда у нас получается в нем оставаться) и  будущее (можно надеяться). У нас есть хобби, достижения и способности, но у нас есть  ответственность, недостатки и обязательства. Мы несем добро в мир – иногда очень много добра.  Мы также совершаем ошибки, иногда ужасные.  

Мы были сформированы нашей культурой, обществом и окружающей средой. У нас есть  религиозные или нерелигиозные убеждения. У нас есть отношения, работа, хобби, мотивация,  болезни... У нас есть все из вышеперечисленного и даже больше. Ни один из этих элементов  полностью не определяет нас. Вместо этого они делают нас людьми.  

Как зависимые, мы склонны больше фокусироваться на том, что с нами не так, а не на том, где у  нас все в порядке. Но мы не более несовершенны, чем другие люди, даже независимые. У нас не  патология и на нас не следует ставить клеймо из-за нашей зависимости.  

Быть зависимым – это только один из аспектов нашей человечности. Работая по Двенадцати  Шагам, мы узнаем, что история нашего употребления наркотиков не так важна, как та, которую  мы создаем в нашем выздоровлении. У нас есть возможность узнать наши достоинства, а также  наши недостатки, и мы узнаем, что недостатки не отменяют достоинства.  

Мы все несовершенны, потому что мы люди. Выздоровление не сделает нас совершенными  (идеальными), но оно, безусловно, может помочь нам принять свою человеческую сущность.  

Сегодня я постараюсь сосредоточиться на своих достоинствах. Я честно признаю, где я недостаточно  хорош, и признаю, что я несовершенен, как и все остальные люди. 🙃",not spam
"Добрый вечер!
Инесса",not spam
"Карточки 1,2 и духовные принципы прочитаю)",not spam
Зачитаю карточку 3?,not spam
"Ребят, привет. Есть расписание группы?",not spam
Не успела(,not spam
Получается - сегодня через час?,not spam
Ежедневник зачинаю,not spam
По идее- да 🙏🏻,not spam
Спасибо),not spam
Привет девчата!💎,not spam
Энесса добро пожаловать!,not spam
Настя добро пожаловать!,not spam
"Инесса, поддержка тебе! Любим!",not spam
"Привет всем,Салта зависимая",not spam
"Таня наркоманка , привет 🤝",not spam
"Салта, привет ❤️",not spam
"Инесса , привет ❤️
Добро пожаловать 🤗",not spam
Тема: Как проживать злость и обиду? Вроде уже прошла ссора но осадок и неприязнь к человеку остается,not spam
Таня 111,not spam
Полина 111,not spam
Салта 111,not spam
Надя 111,not spam
тема: флэшбэки из прошлого.,not spam
Настя 111,not spam
"Татьяна, скинь, пожалуйста молитву злого человека. впервые слышу, инетерсно практиковать.",not spam
"Да, сейчас скину в личку 🤗",not spam
"Девочки, занимайте очередь💞💞",not spam
"И мне, пожалуйста",not spam
joined,not spam
И мне🤞💞,not spam
"💷🌹💶
Для того, чтобы положить деньги в 7-ю традицию, их можно перевести на карту Сбербанка

4817760303189413

Татьяна В

Просьба НЕ ДОБАВЛЯТЬ комментарии к переводу
💶🌹💷

🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙",not spam
"Спасибо за собрание, мне пора🙏",not spam
Эльвира 111,not spam
"📌очередь для чтения карточек
1️⃣
2️⃣
3️⃣
4️⃣
5️⃣
6️⃣",not spam
❤️,not spam
❤️,not spam
❤️,not spam
Прочту 1,not spam
Время,not spam
По поводу грей бук есть мнения? Что они у нас делают рассылку,not spam
"📌очередь для чтения карточек
1️⃣Костя
2️⃣
3️⃣
4️⃣
5️⃣
6️⃣",not spam
6,not spam
2года 11 месяцев Анна,not spam
Ещё свободен Ежедневник 📅,not spam
"Позвольте рассказать вам о своём опыте отказа от курения. Я курил дома около окна, держа сигареты на столе рядом с окном. Каждый раз, когда я смотрел в сторону окна, у меня автоматически возникало желание закурить. Не осознавая этого, я подходил к окну и начинал курить — это происходило неосознанно и мгновенно.

Сегодня я решил оставить сигареты снаружи здания, в почтовом ящике. Это означает, что мне придётся тепло одеваться, спускаться вниз и курить на улице. Я не хотел сохранять привычку курить дома, даже возле окна. Думаю, со временем окно перестанет быть для меня триггером для курения.

А так как сигареты находятся в почтовом ящике, и мне придётся каждый раз спускаться, чтобы закурить, я уверен, что мне станет лень делать это больше трёх раз в день. Другими словами, я хочу, чтобы мой дом перестал быть местом, провоцирующим меня на курение, и я создал препятствия, чтобы затруднить этот процесс. Кажется, это может сработать. Посмотрим.",not spam
"У меня есть мнение, конечно. Я же оттуда сам. У меня там служения есть (не вестник).  Я сказал, чтобы часто не присылали, чтобы не засирать чат. Но ты о другом же говоришь, я понимаю. 

Я считаю, что грейбук - это АН. Всегда считал и продолжаю. Люди, которые хотят прекратить употребление. Это единственное условие для членства в АН. Так в карточках написано. 

Поэтому я лично абсолютно за их флаеры.",not spam
"Костя, ты наш герой!!! 💋❤️",not spam
"Айк, спасибо, что делишься своим опытом! 🌈",not spam
Матвей зависимый,not spam
Алан зависимый,not spam
"Шура наркоман, здорова ребятки!!! 🪴",not spam
"Юра наркоман, привет!",not spam
Я первые 30 дней🙃,not spam
Вова зависимый 2года 8 месяцев,not spam
"❤️До 30 дней: 
🎁Юбиляры: Алан Марк 30 дней!!
🐻впервые на группе, добро пожаловать: 
🌺 Так держать! ✍️ Мы любим вас 🌸 Возвращайтесь, это работает! 🌈

Темы собрания:
🧘 14 Декабря — Зависимость, наркотики, выздоровление
«Зависимость — это болезнь тела, разума и души, влияющая на все области нашей жизни».
Базовый текст, с. 24

🌸 ТОЛЬКО СЕГОДНЯ: Я не буду отрицать свои чувства. Я буду практиковать честность и капитуляцию перед жизнью, какой бы она ни была. Я буду использовать инструменты программы, чтобы пережить свои чувства.
💚💙💙💙💙💙💙💚

🌚 доп.темы: ❤️

1️⃣
2️⃣
3️⃣
4️⃣
5️⃣

🐈‍⬛время высказывания: 5 мин
🐈‍⬛ Очередь:

🩷🩷🩷🩷🩷🩷🩷",not spam
"Я лично считаю что это не АН, не конкретно эта группа а в целом направление выздоровления, не плохо и не хорошо просто другое. Если люди выздоравливают замечательно. Но я про другое действительно, мы просто часть ВКО, а ВКО их не поддерживают. Как бы с другой стороны они нам ничего не могут запретить или навязать. Просто интересно что делать.",not spam
warning for forbidden words,not spam
Тема: негатив и позитив сегодняшнего дня!,not spam
111 Костя,not spam
Как я справляюсь с похотью,not spam
Вова 111,not spam
"❤️До 30 дней: 
🎁Юбиляры: Алан Марк 30 дней!! Вова 2 года 8 месяцев
🐻впервые на группе, добро пожаловать: 
🌺 Так держать! ✍️ Мы любим вас 🌸 Возвращайтесь, это работает! 🌈

Темы собрания:
🧘 14 Декабря — Зависимость, наркотики, выздоровление
«Зависимость — это болезнь тела, разума и души, влияющая на все области нашей жизни».
Базовый текст, с. 24

🌸 ТОЛЬКО СЕГОДНЯ: Зависимость — это непростая болезнь, но от нее есть простое средство. Сегодня я воспользуюсь этим средством: Двенадцатью Шагами выздоровления.

💚💙💙💙💙💙💙💚

🌚 доп.темы: ❤️

1️⃣ Негатив и позитив сегодняшнего дня!
2️⃣ Традиция Первая. Применение и нарушение в семье и на работе
3️⃣Как я справляюсь с похотью?
4️⃣Как экологично знакомиться и находится в интернет-пространстве?
5️⃣


🕯️ время высказывания: 5 мин
🎀Очередь: Костя, Вова

🩷🩷🩷🩷🩷🩷🩷",not spam
Матвей,not spam
"Русик 111, но можно меня в конец",not spam
111 Юра,not spam
"Спасибо, Костя!! ❤️",not spam
Никита 111,not spam
Костя 111,not spam
"Вова, спасибо за твой замечательный опыт! 😁",not spam
"🎁Юбиляры: Алан Марк 30 дней!! Вова 2 года 8 месяцев

🌺 Так держать! ✍️ Мы любим вас 🌸 Возвращайтесь, это работает! 🌈

Темы собрания:
🧘 14 Декабря — Зависимость, наркотики, выздоровление
«Зависимость — это болезнь тела, разума и души, влияющая на все области нашей жизни».
Базовый текст, с. 24

🌸 ТОЛЬКО СЕГОДНЯ: Зависимость — это непростая болезнь, но от нее есть простое средство. Сегодня я воспользуюсь этим средством: Двенадцатью Шагами выздоровления.

💚💙💙💙💙💙💙💚

🌚 доп.темы: ❤️

1️⃣ Негатив и позитив сегодняшнего дня!
2️⃣ Традиция Первая. Применение и нарушение в семье и на работе
3️⃣Как я справляюсь с похотью?
4️⃣Как экологично знакомиться и находится в интернет-пространстве?
5️⃣


🕯️ время высказывания: 3.5 мин
🎀Очередь: Костя, Вова, Матвей, Русик, Юра, Никита, Костя

🩷🩷🩷🩷🩷🩷🩷",not spam
111,not spam
111 Миша,not spam
Всем привет,not spam
"Матвей, солнышко, пусть у тебя всё будет хорошо! ❤️
Спасибо большое)",not spam
"Так в общем вопрос поднимали на ВКО, я вам писал. Группу удалили из расписания. Это не группа АН. Она может и хорошая, но не АН",not spam
"А как решение принимали?
Голосовали ПГО от групп. То есть группы приняли решение.",not spam
"Мы можем делать что сами захотим, так то. В этом моменте",not spam
"Спасибо, Никита, обнимаю тебя)
🐾",not spam
"Костя, спасибо, что пришёл к нам и рассказал о своём опыте!
Ты молодец! 😘",not spam
Радмир 111,not spam
"Ну смотрите, если грейбук - не АН, то что тогда делать со мной? Я по вашему тоже не АН?",not spam
"🐱 очередь закрыта, друзья! 🐱",not spam
Не,not spam
Просто в каком статусе я тогда если я выздоравливаю с грейбук все это время? Я не АН?,not spam
Так вопрос не ставят,not spam
Это ты сам решаешь кто ты,not spam
И нам говоришь,not spam
Но когда берут на служение задают другие вопросы,not spam
Несёшь ли весть об АН,not spam
Этого достаточно,not spam
Я АН стопроцентов непререкаемо. И я считаю грейбук АН также,not spam
А к группе вопросы другие,not spam
И их другое количество,not spam
"🎁Юбиляры: Алан Марк 30 дней!! Вова 2 года 8 месяцев

🌺 Так держать! ✍️ Мы любим вас 🌸 Возвращайтесь, это работает! 🌈

Темы собрания:
🧘 14 Декабря — Зависимость, наркотики, выздоровление
«Зависимость — это болезнь тела, разума и души, влияющая на все области нашей жизни».
Базовый текст, с. 24

🌸 ТОЛЬКО СЕГОДНЯ: Зависимость — это непростая болезнь, но от нее есть простое средство. Сегодня я воспользуюсь этим средством: Двенадцатью Шагами выздоровления.

💚💙💙💙💙💙💙💚

🌚 доп.темы: ❤️

1️⃣ Негатив и позитив сегодняшнего дня!
2️⃣ Традиция Первая. Применение и нарушение в семье и на работе
3️⃣Как я справляюсь с похотью?
4️⃣Как экологично знакомиться и находится в интернет-пространстве?
5️⃣


🕯️ время высказывания: 3.5 мин
🎀Очередь: Костя, Вова, Матвей, Никита, Костя, Дима, Миша, Русик, Юра, Радмир

🩷🩷🩷🩷🩷🩷🩷",not spam
"Я несу Весть АН естественно, но в том числе отталкиваясь от Серой Книги",not spam
"Это история твоя личная, кто-то в алкаши ходит кто-то в вда",not spam
Кто-то к психологам,not spam
Шикарная,not spam
Конкретно к Лебедю вопрос один,not spam
Чудо в твоей жизни благодаря АН,not spam
Ответ да,not spam
Всё,not spam
"Миша, ты большой-большой молодец 😇
Спасибо тебе за твой опыт!",not spam
Мы то говорим сейчас не как личности,not spam
А как группа,not spam
Потомучто я попал на группу ГаБа которая по Серой Книге. И там все считают себя АН,not spam
Габу тоже турнули за то же самое,not spam
"📚 7-я традиция 2202 2062 3857 1801 Сбербанк Марина Игоревна З

Просим не вносить денежные средства от посторонних лиц, организаций, новичков и не писать комментариев к оплате",not spam
2202 2062 3857 1801,not spam
"Саша Лебедь, дело не в личностях. Дело в структуре и подходе. Есть чистота вести.
Я тоже по алкашам программу раньше проходил, семинар Сергея П. Окончил его. Взял там что смог. Теперь выздоравливаю в АН, нет идентификации с алкашами. Но я это не тащу сюда. Тут по это, друг",not spam
"Русик, спасибо, что поделился своим опытом!
🌸",not spam
"Меня интересует вообще принцип, не конкретно группа грейбук а мы вообще что-то планируем модерировать цензорировать или всё пропускаем как есть",not spam
"Ты замечательный молодец, Юрочка! Спасибо тебе! 🌺💛",not spam
"Серёжа, твой опыт очень отзывается, спасибо тебе за то, что пришёл! 🔅",not spam
+,not spam
+,not spam
😜,not spam
❤️,not spam
❤️,not spam
❤️,not spam
❤️,not spam
❤️,not spam
Спасибо ребята ❤️🙏Очень заряжает после живой группы,not spam
Всем спасибо за собрание!!,not spam
Спасибо за собрание и теплое служение ⭐️,not spam
Приглашаем всех на рабочее собрание!,not spam
"Повестки:
1. Представитель в помитеты
   2. Служения
3. Деньги на Н.Г.-собирать отдельно,будем ли?
4. деньги на н.г. запрос у группы,около 2-3 тысяч
5. Группа в ночь с 31 декабря на 1января
6. Открытые собрания
7. Голосование",not spam
"Ребята, нам нужны вы и ваше служение! 🙏",not spam
"Я Шура наркоман, техпод суббота и и.о. техпод вторник 19:09",not spam
Флаеры раскинула ❤️,not spam
Сергей Нарк ведущий по вторникам 19:00,not spam
"Максим, зачем тебе это служение?",not spam
Я не подхожу не по одному критерию 🙂 удобненько 😌,not spam
Тех поддержка от 1 дня 🙂❤️🙏,not spam
"Всем привет!
Костя наркоман",not spam
А какие служения есть?,not spam
В какое время?,not spam
Только служащие голосуют?,not spam
Или гости тоже могут?,not spam
Оке,not spam
"Свободные служения:
1. Техпод в 14.00 вт
2. Техпод в 19.00 вт
3. Техпод в 19.00 пт
4. Ведущий в 19.00 сб
5. Техпод в 19.00 сб",not spam
Максим поздравляю ❤️💪,not spam
Да,not spam
Я могу продолжить и.о. техпод по вторникам 19:00,not spam
"Димочка, я могу продолжить и.о. техпод по вторникам 19:00",not spam
Что такое и.о. ?,not spam
А в субботу я хочу продолжить,not spam
Служение на какой срок?,not spam
На 3 мес,not spam
Это на месяц до след. рабочки,not spam
Три месяца,not spam
Возл - это вовлечь с Шурочкой?,not spam
"А что делает тех поддержка?
Какие обязанности есть?",not spam
"плюсую, тоже надо знать точнее🙏🏻",not spam
Я могу продолжить техпод по субботам 19:00,not spam
Полноценно,not spam
"Костя, не стоит бояться",not spam
Мы поможем!!!,not spam
Одно и. о. во вторник,not spam
Спасибо),not spam
Вы мои солнышки! 🌞,not spam
111,not spam
Не подойдёт это будет собрание группы в обычное время,not spam
Марго111,not spam
111 Костя,not spam
Саша 111,not spam
"Я дополню:
Мы ещё хотели обсудить отдельный сбор на новый год",not spam
"И ещё дополню:
Мы ещё на Прайде хотели тот же вопрос задать, возможно оттуда помощь придёт",not spam
111,not spam
111 сергей,not spam
А для чего деньги на мероприятие? Собрание не онлайн будет? Сорри я не в курсе,not spam
Прошу прощения долго загружается телеграм чат надеюсь загружу и начну группу🙁,not spam
На что собирать деньги? Если это онлайн?,not spam
На подарки викторины,not spam
"А, понял 👍🏻",not spam
Да,not spam
Шура 111,not spam
"Сережа,ваще в точку💞",not spam
+,not spam
+,not spam
+,not spam
❤️❤️❤️,not spam
И у нас на группе тоже выделяли из 7 традиции на чай и плюшки и аренду помещения!,not spam
"Че, гостям можно высказаться?",not spam
Да,not spam
Никита 111,not spam
Костя 111,not spam
11 месяцев чистоты,not spam
Посещение злачных мест в чистоте. Тема,not spam
Да же за отдельный сбор,not spam
"Злачные места это типа клубы, бары?",not spam
Да,not spam
Наталия111,not spam
Дима 111,not spam
Костя 111,not spam
Сергей 11й,not spam
Маркус 111,not spam
Суббота 111,not spam
Да,not spam
ВКО,not spam
По идее,not spam
Сергей 111,not spam
А если не сбер как можно закинуть? PayPal?,not spam
1)В какой момент я принял что я зависимый больной человек ?,not spam
Доп тема,not spam
111,not spam
😂,not spam
111 Костя,not spam
Амина 111,not spam
111,not spam
Отношения в чистоте,not spam
111 Дима,not spam
Сергей111,not spam
Илья 111,not spam
Вова 111,not spam
Шура 111,not spam
"Ребята, вы лучшие, спасибо за ваше служение.",not spam
Служение делегата?,not spam
111 Кирилл,not spam
"Не, только в подкомитеты",not spam
Это вы с 19 00 сидите чтоли ?,not spam
111,not spam
"Бомби, Валер!! ❤️",not spam
Антон 111,not spam
Не надо,not spam
Давай головать! Ура! 🤩,not spam
кмк они к европе точно не присоединятся,not spam
Шура 111,not spam
минутка русофобии,not spam
Вова111,not spam
Извините,not spam
Сергей 111,not spam
Где состоит Транзит?,not spam
Европейский съезд делегатов,not spam
Никита 111,not spam
Зависит ли если в уставе учитываются голоса воздержавшихся или не учитываются .,not spam
Понял,not spam
Никита 111,not spam
Так по сути групповое сознание против,not spam
"значит все комитеты просто перейдут в вко, а не будут дублированы",not spam
По уставу сейчас большинство принимает решение,not spam
❤️,not spam
❤️,not spam
❤️,not spam
❤️,not spam
❤️,not spam
"Ребят,всем спасибо! Дима,спасибо что подменил❤️❤️❤️❤️",not spam
"Димочка, спасибо тебе большое!!",not spam
Всем спасибо!,not spam
Всем спасибо огромное ❤️,not spam
"Собрание ✨ АН БАЛАНС ✨

Начнется прямо сейчас, заходи ✨

Добро пожаловать делиться опытом, силой и надеждой 🫶🏻

💛💛💛💛💛💛💛💛💛💛💛💛💛",not spam
"Такого не может быть, транзит как структура не исчезает",not spam
что такое вко,not spam
Структура которая обслуживает нас,not spam
Отбой у него,not spam
"гипотеза, что люди могут перенести из комитета который ничего не делает (транзит) в комитет который занят делами (вко)",not spam
Я скину,not spam
"ТРАДИЦИЯ СЕДЬМАЯ
Каждой группе АН следует быть на полном самообеспечении и отказываться от материальной помощи извне.
Собранные деньги пойдут на обеспечение деятельности нашей группы и всего сообщества в целом. Это не касается новичков и гостей нашей группы.
2200701329676792
Т Банк Александр Михайлович К.",not spam
"Благодарю ребят , прям чувствовался  old-school ❤️",not spam
+,not spam
❤️,not spam
💙,not spam
+,not spam
❤️,not spam
❤️,not spam
"😃😃😃😃😃😃😃😃

😃😃😀😃😃😀😃😃

😃😃

😃😃😃😃😃😃😃  👍

Несовершенство, человечность и смирение  

🌺🌺🌺🌺🌺🌺🌺🌺

Если убрать в сторону нашу зависимость- то мы просто обычные люди, члены общества точно так  же обладающие какими-то талантами и изъянами, как и все остальные. (Жить чистыми, Глава 5,  «Дружба»).  

Мы зависимые, выздоравливающие от болезни зависимости. Это не новость.  

У нас есть прошлое (да ну!), настоящее (особенно когда у нас получается в нем оставаться) и  будущее (можно надеяться). У нас есть хобби, достижения и способности, но у нас есть  ответственность, недостатки и обязательства. Мы несем добро в мир – иногда очень много добра.  Мы также совершаем ошибки, иногда ужасные.  

Мы были сформированы нашей культурой, обществом и окружающей средой. У нас есть  религиозные или нерелигиозные убеждения. У нас есть отношения, работа, хобби, мотивация,  болезни... У нас есть все из вышеперечисленного и даже больше. Ни один из этих элементов  полностью не определяет нас. Вместо этого они делают нас людьми.  

Как зависимые, мы склонны больше фокусироваться на том, что с нами не так, а не на том, где у  нас все в порядке. Но мы не более несовершенны, чем другие люди, даже независимые. У нас не  патология и на нас не следует ставить клеймо из-за нашей зависимости.  

Быть зависимым – это только один из аспектов нашей человечности. Работая по Двенадцати  Шагам, мы узнаем, что история нашего употребления наркотиков не так важна, как та, которую  мы создаем в нашем выздоровлении. У нас есть возможность узнать наши достоинства, а также  наши недостатки, и мы узнаем, что недостатки не отменяют достоинства.  

Мы все несовершенны, потому что мы люди. Выздоровление не сделает нас совершенными  (идеальными), но оно, безусловно, может помочь нам принять свою человеческую сущность.  

Сегодня я постараюсь сосредоточиться на своих достоинствах. Я честно признаю, где я недостаточно  хорош, и признаю, что я несовершенен, как и все остальные люди. 🙃",not spam
"Боже, дай мне Разум и Душевный Покой принять то, что я не в силах изменить, Мужество изменить то, что могу, и Мудрость отличить одно от другого 🕯",not spam
❤,not spam
"2, 3, 4, 5, 6, 7 карточки свободны🤎
🤎 Духовные принципы - свободны🤎",not spam
,not spam
а чё без меня собрание провели?,not spam
ладно бб,not spam
мы не используем мат в чате,not spam
"🌘 14 декабря 🌒


Темы:
🌸 Духовные принципы: ""Несовершенство, человечность и смирение  ""


🌺

🌺


🗣 Регламент: 8 минут


🌱 Новички:

⚘️ 1 раз:

🏵 До 30 дней:

💐 Юбиляры:


🪴 Очередь:


⭐️ Очередь открыта ⭐️",not spam
❤️,not spam
Выноси на обсуждение на рабочку,not spam
"Ты как робот раскидываешь флаеры, спасибо за служение😁🤝👍",not spam
"Хотел пока мнения послушать, может это не нужно никому, зачем тогда зря время тратить",not spam
"Это же рабочий чат, как раз чтобы такие моменты обсуждать",not spam
"💷🌹💶
Для того, чтобы положить деньги в 7-ю традицию, их можно перевести на карту Сбербанка

4817760303189413

Татьяна В

Просьба НЕ ДОБАВЛЯТЬ комментарии к переводу
💶🌹💷

🪙🪙🪙🪙🪙🪙🪙🪙🪙🪙",not spam
"Транзит все делает, просто ВКО думает отделиться",not spam
"Боже, дай мне Разум и Душевный Покой принять то, что я не в силах изменить, Мужество изменить то, что могу, и Мудрость отличить одно от другого 🕯",not spam
"Виртуальный комитет обслуживания. Его задача помогать группам в развитии и в том, чтобы приходили новички",not spam
Лена 55 днец,not spam
Благодарю🙏 за группу.,not spam
Поздравляю🎉🎊,not spam
Спасибо за группу девочки ❤️,not spam
Люблю,not spam
